label,text
Блок деректора по газу,"[ORGANIZATION] [LOCATION] [CONTACT]; [ID] [DATE_TIME] No [DOCUMENT_NUMBER] / [DOCUMENT_NUMBER] [PERSON] по газу [ORGANIZATION] [PERSON] [LOCATION] Телефон: [CONTACT] email: [CONTACT] Об изготовлении Блоков ЗРА ТДА No1 и ТДА No2 (Проект No [DOCUMENT_NUMBER]) Уважаемый [PERSON]! В настоящее время на территории [ORGANIZATION] ведутся работы по устранению рекламации по турбодетандерным агрегатам (далее - ТДА) ТДА 2.2., КВ [DOCUMENT_NUMBER]. ТУ [DOCUMENT_NUMBER], ТТ [DOCUMENT_NUMBER]. изм. [NUMBER] (зав. No [NUMBER]) (далее - ТДА 1) и ТДА 3.2., КВ [DOCUMENT_NUMBER]-[NUMBER] ТУ [DOCUMENT_NUMBER], ТТ [DOCUMENT_NUMBER] изм. No [NUMBER]) (далее - ТДА 2), поставленных на объект [OBJECT]. Компрессорная станция с установкой подготовки газа. Агрегат турбодетандерный ТДА 182,[DATE_TIME],6 - 2 шт. (далее - Объект) по Договору поставки No ДП [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] от [DATE_TIME] (далее - Договор). Информирую Вас, что в целях проведения монтажных, сварочных, пусконаладочных работ, а также работ по проверке ТДА силами [ORGANIZATION] на Объекте [ORGANIZATION] и субподрядные организации отправляют суммарно до [NUMBER] сотрудников. Прошу Вас сообщить даты остановов каждой из ниток УНТС и общего останова УНТС. Также прошу Вас оказать содействие в размещении сотрудников [ORGANIZATION] и других субподрядных организаций по Проекту в период с [DATE_TIME] по [DATE_TIME] согласно Приложению No [NUMBER] к настоящему письму. Приложения: 1) График нахождения сотрудников [ORGANIZATION] и ПО на Объекте от [DATE_TIME]. С уважением, [PERSON] по коммерческой работе [PERSON] Исп. [PERSON] Тел.: [CONTACT], E-mail: [CONTACT]"
Блок технического директора,"[ORGANIZATION] [LOCATION] [CONTACT] [ORGANIZATION] Уважаемый [PERSON]! Направляю Вам Акт сверки расчетов [DOCUMENT_NUMBER] за период с [DATE_TIME] по [DATE_TIME] между [ORGANIZATION] и [ORGANIZATION]. Прошу Вас согласовать, подписать, скрепить печатью и один экземпляр вернуть в адрес [ORGANIZATION]. Приложение: акт сверки расчетов [DOCUMENT_NUMBER] за период с [DATE_TIME] по [DATE_TIME] на 1л. в 2экз. Первый заместитель директора - главный инженер [PERSON] [PERSON] [CONTACT]"
Блок директора по проектированию,"[ORGANIZATION] Временно исполняющему обязанности генерального директора [ORGANIZATION] [PERSON] Исполняющему обязанности заместителя генерального директора по науке [ORGANIZATION] [PERSON] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] направлении запроса Уважаемый [PERSON]! Протоколом совещания по рассмотрению результатов экспертизы предложений [ORGANIZATION] по разработке [OBJECT] и [OBJECT] от [DATE_TIME] No [DOCUMENT_NUMBER] поручено следующее: 1. В срок до [DATE_TIME] [ORGANIZATION] представить в Департамент [ORGANIZATION] ([PERSON]) согласованную с [ORGANIZATION] дорожную карту выполнения работ по подготовке проектных решений по освоению запасов [OBJECT] и [OBJECT]. 2. В срок до [DATE_TIME] [ORGANIZATION], [ORGANIZATION], [ORGANIZATION] представить: 2.1. Для утверждения в Департамент [ORGANIZATION] ([PERSON]) согласованный перечень первоочередных объектов на [OBJECT] из числа запроектированных или построенных, для продолжения работ по эксплуатационному бурению и обустройству месторождения в [YEAR] году в рамках работы по бесшовному переходу к функциям заказчика; 2.2. В Департамент [ORGANIZATION] ([PERSON]) согласованную программу по организации контроля за компонентным составом газа при освоении эксплуатационных скважин; 2.3. В Департамент [ORGANIZATION] ([PERSON]) предложения по привлечению [ORGANIZATION] к геологическому сопровождению строительства скважин и авторскому сопровождению разработки [OBJECT] и [OBJECT]. В соответствии с вышеизложенным и с целью своевременного исполнения поставленных задач прошу Вас не позднее [DATE_TIME] направить в адрес [ORGANIZATION] указанные материалы для рассмотрения. Приложение: по тексту на [NUMBER] л. в 1 экз. Исполняющий обязанности заместителя генерального директора - главного геолога [PERSON] [CONTACT] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок директора по мощностям,"ОБЪЕФТЕРЕМОНТ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ Юридический адрес: [LOCATION] Почтовый адрес: [LOCATION] E-mail: [CONTACT] тел: [CONTACT], факс: [CONTACT] ОГРН [ID], ИНН/КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] На [DOCUMENT_NUMBER] от [DATE_TIME] Начальнику Управления внутрискважинных работ ООО [ORGANIZATION] [PERSON] Козлову О сроках вывода бригады ТКРС Уважаемый [PERSON]! В ответ на Ваш [DOCUMENT_NUMBER] от [DATE_TIME] О выводе бригады ТиКРС сообщаем Вам, что сроки вывода пятой бригады, сможем определить после запуска в работу четвертой бригады ТКРС. Информацию представим дополнительно. С уважением, Первый заместитель управляющего директора- технический директор [PERSON] Исп.: [PERSON] Тел[CONTACT] доб.[CONTACT] Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
Блок деректора по газу,"[ORGANIZATION] [ORGANIZATION] [LOCATION] Телефон/факс: [CONTACT] [ORGANIZATION] [PERSON] [PERSON] Уважаемый [PERSON]! В проекте дополнительного соглашения No[DOCUMENT_NUMBER] к договору поставки No[DOCUMENT_NUMBER] [DOCUMENT_NUMBER] предусмотрена выплата третьего авансового платежа по п.1 и п.4 Спецификации в размере [FINANCIAL_DATA] при условии предоставления банковской гарантии на возврат авансового платежа сроком до [DATE_TIME] (срок поставки плюс 60 КД). Вынуждены сообщить, что по состоянию на сегодняшний день в рамках лимита на выдачу банковских гарантий в [ORGANIZATION], установленного под обеспечение вышеуказанного контракта, остаток лимита за вычетом выданных БГ составляет [FINANCIAL_DATA], что меньше вышеуказанной суммы банковской гарантии. Процедура увеличения лимита под данный контракт составит 1-1,5 месяца. Общий лимит на банковские гарантии, установленный в [ORGANIZATION], позволяет выдать банковскую гарантию на сумму [FINANCIAL_DATA], но сроком ее действия до [DATE_TIME] (срок действия лимита), что меньше необходимого срока действия на 2 месяца. Принимая во внимание вышеизложенное, прошу Вас рассмотреть вариант по получению банковской гарантии [ORGANIZATION] на сумму [FINANCIAL_DATA] сроком до [DATE_TIME] с последующей пролонгацией ее срока действия до [DATE_TIME]. В случае согласия на предложение [ORGANIZATION], прошу Вас сообщить ответным письмом о согласовании приложенного проекта банковской гарантии. Приложение: Проект банковской гарантии на третий аванс Директор коммерческим вопросам [PERSON] Исполнено (Пим. [PERSON]) в ДЕЛО No Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
Блок директора по строительству,"[ORGANIZATION] [LOCATION] Тел.: [CONTACT], e-mail: [CONTACT] ИНН/КПП: [ID]/[ID] ОГРН [DOCUMENT_NUMBER] Директору по проектированию [ORGANIZATION] [PERSON] Хабибрахманову Копия Руководителю направления по контролю за инженерными изысканиями [ORGANIZATION] [PERSON] Дата [DATE_TIME] No [DOCUMENT_NUMBER]/ИИ/[DATE_TIME]/[NUMBER] На No от О сдаче геодезических работ Уважаемый [PERSON]! Уважаемый [PERSON]! В рамках выполнения работ по инженерно-геодезическим изысканиям по объекту: [OBJECT]. Перевод нагрузки ТЗРУ-10 [OBJECT] на внешние сети электроснабжения с питанием от ЗРУ-6 [OBJECT] [ORGANIZATION] уведомляем о завершении работ по закреплению трасс и созданию планово-высотного обоснования. Просим Вас запланировать полевую приемку объекта и передачу на сохранность геодезических знаков маркшейдерской службе [ORGANIZATION]. Ответственным представителем на объекте является ведущий инженер-геодезист [PERSON], тел. [CONTACT]. Комплект материалов доступен по ссылке: [URL] Главный инженер по инженерным изысканиям [PERSON] Исп. [PERSON] [PERSON] [CONTACT] доб. [NUMBER] [CONTACT]"
"Проект ""Обустройство площадных объектов НГКМ Поменбше""","[ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[WEBSITE] [OKPO] [OGRN] [INN] [KPP] [DATE_TIME] No [DOCUMENT_NUMBER] на No [DOCUMENT_NUMBER] от [DATE_TIME] О направлении замечаний к ППР, ТК и ОТК Уважаемый [PERSON]! Направляю Вам результаты рассмотрения представленной документации по объекту [OBJECT]. Техническое перевооружение. Приложение: Замечания на 1 л. в 1 экз. [PERSON] [PERSON] [CONTACT]"
"Проект ""Восточный""","[ORGANIZATION] [LOCATION] Тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION] [OKPO] [DOCUMENT_NUMBER], [ORGANIZATION_NUMBER] [ID], [ID] КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] формирования планово-экономических показателей на [YEAR]-[YEAR] гг. Уважаемый [PERSON]! В рамках работы по формированию плановых экономических показателей [ORGANIZATION] по статьям затрат Услуги по добыче сырья/сепарации сырья и Прочие услуги сторонних организаций на [YEAR] - [YEAR] годы, просим направить в наш адрес: 1. Детализированную калькуляцию стоимости услуг по развертыванию мобильных площадок слива/налива конденсата на [OBJECT] и [OBJECT] по форме приложения No 1; 2. Калькуляцию тарифа по перевозке конденсата (с [OBJECT] на [OBJECT]) и метанола (с [OBJECT] на [OBJECT]) с предоставлением обосновывающих материалов к расчетам и исходным данным, принятым в калькуляции по форме приложения No 2; 3. Расчет стоимости операторских услуг по добыче природного газа и газового конденсата, извлекаемого оператором [ORGANIZATION] на лицензионном участке [ORGANIZATION] в рамках долгосрочных рисковых операторских договоров по форме приложения No 3. Дополнительно, с целью ознакомления, направляем в Ваш адрес информацию, представленную при планировании бюджета на [YEAR]-[YEAR] годы (приложение No 4). Учитывая необходимость согласования потребности с [ORGANIZATION] ( [PERSON] ), запрашиваемую информацию просим направить в наш адрес до [DATE_TIME]. Приложение: 1. Форма для заполнения Расчет по развертыванию мобильных площадок; от [DATE_TIME] No [DOCUMENT_NUMBER] 2. Форма для заполнения Расчет по возке ГК и метанола; 3. Форма для заполнения Расчет стоимости операторских услуг; 4. Информация представленная при планировании бюджета на [YEAR] - [YEAR] годы. И. о. генерального директора [PERSON] Не удалять"
Блок операционного директора,"[ORGANIZATION] Генеральному директору [ORGANIZATION] [LOCATION], [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[WEBSITE] [ID], [ID], [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER]/[DATE_TIME]-[NUMBER] на No от [ORGANIZATION] потерях при добыче [OBJECT] Уважаемый [PERSON]! В соответствии п. 4.96 решения совещания [ORGANIZATION] по результатам рассмотрения производственно-хозяйственной деятельности [ORGANIZATION] за [DATE_TIME], утвержденного [PERSON] [DATE_TIME], [ORGANIZATION] поручено в целях соблюдения нормативов технологических потерь, утверждаемых [ORGANIZATION], обеспечить снижение сверхнормативных потерь углеводородного сырья (далее также - [OBJECT]) за отчетный период по отношению к предыдущему. Прошу Вас организовать безусловное исполнение вышеуказанного поручения, с предоставлением ежеквартального отчета (в срок до 08 числа месяца следующего за отчетным кварталом) по прилагаемой форме. Приложение: форма отчета о выполнении поручений [ORGANIZATION] на 1 л. в 1 экз. И.о. заместителя генерального директора по добыче и подготовке газового конденсата, [PERSON] [PERSON] [CONTACT]"
Блок директора по мощностям,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ [PERSON], Филиал Центрального Банка [ORGANIZATION] в г. [LOCATION] К/с [FINANCIAL_DATA], БИК [FINANCIAL_DATA], ИНН [ID], КПП [ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] г. На вх. Руководителю направления внутрискважинных работ [ORGANIZATION] [PERSON] О заключении Дополнительного соглашения No [DOCUMENT_NUMBER] Уважаемый [PERSON]! В ответ на Ваше письмо исх. с предложением рассмотреть возможность заключения Дополнительного соглашения No [DOCUMENT_NUMBER] к Договору No [DOCUMENT_NUMBER] от [DATE_TIME] г. на проведение ремонта скважин с применением ГНКТ (далее Договор), предусматривающего: Приведение к факту выполненного объема работ 2024 года, перенос неосвоенного гарантированного объема работ 2024 года в гарантированный объем работ 2025 года в количестве: 1 операция ГИС ПГИ вызов притока азотированием. Без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. Компания [PERSON] сообщает о своем согласии на заключение Дополнительного соглашения No [DOCUMENT_NUMBER] на вышенназванных условиях. С уважением, Заместитель генерального директора по экономике и финансам Исполнитель: [PERSON] Должность: [JOB_TITLE] e-mail.: [CONTACT] тел.: [CONTACT] Н. К. [LOCATION], Российская Федерация, [LOCATION] Tel: [CONTACT] e-mail: [CONTACT]"
